citekey,title,year,venue,url,matched_problems,matched_techs,grid,scenario,relevance_score,citation_count
aaam2025,AltDev: Achieving Real-Time Alignment in Multi-Agent Software Development,2025,ICLR,https://arxiv.org/abs/lVUuQhjbRd,Agent,,S×G,Agent,30.0,0
aaaq2025,Angle-DFQ: Angle aware data free quantization,2025,ICLR,https://arxiv.org/abs/orG37FHN4b,Throughput|Quantization,Quantization,W×Q,LLM,41.0,0
aaas2025,AgentSquare: Automatic LLM Agent Search in Modular Design Space,2025,ICLR,https://arxiv.org/abs/mPdmDYIQ7f,Agent,,,Agent,25.0,0
aaaw2025,AFlow: Automating Agentic Workflow Generation,2025,ICLR,https://arxiv.org/abs/z5uVAKwmjf,Agent|Scalability,,,Agent,20.0,0
aaca2025,APOLLO: Automated LLM and Lean Collaboration for Advanced Formal Reasoning,2025,NIPS,https://arxiv.org/abs/fxDCgOruk0,Agent,,,Agent,20.0,0
aacm2025,Adversarial Attacks on Cooperative Multi-agent Bandits,2025,ICLR,https://arxiv.org/abs/GiHLTtfbB5,Agent,,S×G,Agent,30.0,0
aaei2025,IDS-Agent: An LLM Agent for Explainable Intrusion Detection in IoT Networks,2025,ICLR,https://arxiv.org/abs/uuCcK4cmlH,Agent,,,Agent,20.0,0
aaet2025,Agents Help Agents: Exploring Training-Free Knowledge Distillation for Small Language Models in Data Science Code Generation,2025,ICLR,https://arxiv.org/abs/hREMYJ5ZmD,Agent|Latency,,W×D,Agent,20.0,0
aafc2025,Agent S: An Open Agentic Framework that Uses Computers Like a Human,2025,ICLR,https://arxiv.org/abs/lIVRgt4nLv,Agent,,,Agent,25.0,0
aama2025,AutoML-Agent: A Multi-Agent LLM Framework for Full-Pipeline AutoML,2025,ICLR,https://arxiv.org/abs/stolHkh6Nc,Agent,,S×G,Agent,35.0,0
aanf2025,Agent-E: From Autonomous Web Navigation to Foundational Design Principles in Agentic Systems,2025,ICLR,https://arxiv.org/abs/7PQnFTbizU,Agent,,,Agent,20.0,0
aaqt2025,AQUATIC-Diff: Additive Quantization for Truly Tiny Compressed Diffusion Models,2025,ICLR,https://arxiv.org/abs/XwERWxaqIr,Quantization,Quantization,W×Q,LLM,23.0,0
aara2025,Agent Q: Advanced Reasoning and Learning for Autonomous AI Agents,2025,ICLR,https://arxiv.org/abs/LuytzzohTa,Agent,,,Agent,30.0,0
aarf2025,RF-Agent: Automated Reward Function Design via Language Agent Tree Search,2025,NIPS,https://arxiv.org/abs/dZ94ZS410X,Agent,,,Agent,20.0,0
aatq2025,Attention-aware Post-training Quantization without Backpropagation,2025,ICLR,https://arxiv.org/abs/0L8wZ9WRah,Scalability|Quantization,Quantization,W×Q,LLM,28.0,0
aats2025,AgentTrek: Agent Trajectory Synthesis via Guiding Replay with Web Tutorials,2025,ICLR,https://arxiv.org/abs/EEgYUccwsV,Agent|Scalability,,,Agent,25.0,0
aawm2025,MM-Agent: LLM as Agents for Real-world Mathematical Modeling Problem,2025,NIPS,https://arxiv.org/abs/o8n5oNDsiq,Agent,,,Agent,20.0,0
abap2025,AgentRecBench: Benchmarking LLM Agent-based Personalized Recommender Systems,2025,NIPS,https://arxiv.org/abs/fm77rDf9JS,Agent,,,Agent,20.0,0
abee2025,Repo2Run: Automated Building Executable Environment for Code Repository at Scale,2025,NIPS,https://arxiv.org/abs/fZsd3KLMje,Agent|Scalability,,,Agent,25.0,0
abmd2025,An Asynchronous Bundle Method for Distributed Learning Problems,2025,ICLR,https://arxiv.org/abs/Kwo20MWWCb,Distributed Inference|Latency|Scalability,,,,25.0,0
abpa2025,ActionFiller: Fill-In-The-Blank Prompting for OS Agent,2025,ICLR,https://arxiv.org/abs/RVUWZ9SP1K,Agent,,,Agent,20.0,0
abrs2025,AceSearcher: Bootstrapping Reasoning and Search for LLMs via Reinforced Self-Play,2025,NIPS,https://arxiv.org/abs/jSgCM0uZn3,Agent|Scalability,,,Agent,20.0,0
absm2025,Auxiliary-Loss-Free Load Balancing Strategy for Mixture-of-Experts,2025,ICLR,https://arxiv.org/abs/y1iU5czYpE,MoE,MoE,C×G,,26.0,0
acak2025,Automated Composition of Agents: A Knapsack Approach for Agentic Component Selection,2025,NIPS,https://arxiv.org/abs/1LPPMAUlaT,Agent,,,Agent,20.0,0
acbl2025,Adaptive In-conversation Team Building for Language Model Agents,2025,ICLR,https://arxiv.org/abs/uPwe2w78Wx,Agent,,,Agent,20.0,0
acea2025,Accurate KV Cache Eviction via Anchor Direction Projection for Efficient LLM Inference,2025,NIPS,https://arxiv.org/abs/Tdl89SZItB,,,K×G,LLM,0,0
acei2025,Automatic Curriculum Expert Iteration for Reliable LLM Reasoning,2025,ICLR,https://arxiv.org/abs/3ogIALgghF,Agent,,,Agent,20.0,0
acgg2025,Size-aware Compression of 3D Gaussians with Fine-grained Mixed Precision Quantization,2025,ICLR,https://arxiv.org/abs/1PZt5nFlzH,Quantization,Quantization,W×Q,LLM,23.0,0
acil2025,Efficient Low Rank Attention for Long-Context Inference in Large Language Models,2025,NIPS,https://arxiv.org/abs/Mc0eJHZhW5,KV Cache|Throughput|Quantization,KV Cache|Quantization|PD Separation,K×Q,LLM,47.0,0
acla2025,Abstract Counterfactuals for Language Model Agents,2025,NIPS,https://arxiv.org/abs/ifMZw5fm7K,Agent,,,Agent,20.0,0
aclo2025,Adaptive Context Length Optimization with Low-Frequency Truncation for Multi-Agent Reinforcement Learning,2025,NIPS,https://arxiv.org/abs/4BsrGHtvW5,Agent,,S×G,Agent,30.0,0
acma2025,Agentic Plan Caching: Test-Time Memory for Fast and Cost-Efficient LLM Agents,2025,NIPS,https://arxiv.org/abs/n4V3MSqK77,Agent|Latency|Throughput,,,Agent,35.0,0
acpr2025,VSP: Assessing the dual challenges of perception and reasoning in spatial planning tasks for MLLMs,2025,ICLR,https://arxiv.org/abs/5zDU4pFxkg,Agent,,,Agent,30.0,0
actp2025,Adaptive Continual Learning Through Proactive Detection of Transfer and Interference,2025,ICLR,https://arxiv.org/abs/6NPyh70Qkp,MoE,MoE,C×G,,26.0,0
adas2025,Automated Design of Agentic Systems,2025,ICLR,https://arxiv.org/abs/t9U3LW7JVX,Agent,,,Agent,20.0,0
adec2025,AgentNet: Decentralized Evolutionary Coordination for LLM-based Multi-Agent Systems,2025,NIPS,https://arxiv.org/abs/tXqLxHlb8Z,Agent|Throughput|Scalability,,S×G,Agent,40.0,0
adha2025,AD-H: Autonomous Driving with Hierarchical Agents,2025,ICLR,https://arxiv.org/abs/JwrnoB1tR0,Agent|Scalability,,,Agent,30.0,0
adi2025,Semi-autoregressive Decoding for Efficient LLM Inference,2025,ICLR,https://arxiv.org/abs/gfDbD1MRYk,Agent|Speculative Decoding,Speculative Decoding,S×G,Agent,31.0,0
adia2025,Your Agent Can Defend Itself against Backdoor Attacks,2025,ICLR,https://arxiv.org/abs/pBugl1EIkm,Agent,,W×D,Agent,20.0,0
aect2025,Accelerating Error Correction Code Transformers,2025,ICLR,https://arxiv.org/abs/lAXlDAdan5,Quantization,Quantization|PD Separation,W×Q,LLM,21.0,0
aeel2025,AgentGym: Evaluating and Evolving Large Language Model-based Agents across Diverse Envronments,2025,ICLR,https://arxiv.org/abs/b8eEutZlPb,Agent|Scalability,,,Agent,20.0,0
